year;quarter;country;area;age;n;b
2000;1;portugal;spor;5;169467;10473
2000;1;portugal;spor;6;214544;13677
2000;1;portugal;spor;7;184210;13484
2000;1;portugal;cad;1;2164952;17457
2000;1;portugal;cad;2;1226822;48713
2000;1;portugal;cad;3;466663;22171
2000;1;portugal;cad;4;237681;12309
2000;1;portugal;cad;5;234946;13180
2000;1;portugal;cad;6;55264;3523
2000;1;portugal;cad;7;77048;5105
2000;1;spain;ecan;1;63307;
2000;1;spain;ecan;2;147507;
2000;1;spain;ecan;3;106827;
2000;1;spain;ecan;4;51469;
2000;1;spain;ecan;5;30598;
2000;1;spain;ecan;6;6956;
2000;1;spain;ecan;7;3420;
2000;1;spain;ecan;8;1305;
2000;1;spain;wcan;1;5454;
2000;1;spain;wcan;2;102998;
2000;1;spain;wcan;3;158898;
2000;1;spain;wcan;4;93236;
2000;1;spain;wcan;5;89114;
2000;1;spain;wcan;6;14646;
2000;1;spain;wcan;7;2002;
2000;1;spain;wcan;8;4807;
2000;1;spain;wcan;9;667;
2000;1;spain;ngal;2;18316;
2000;1;spain;ngal;3;165628;
2000;1;spain;ngal;4;96701;
2000;1;spain;ngal;5;69061;
2000;1;spain;ngal;6;23928;
2000;1;spain;ngal;7;8853;
2000;1;spain;ngal;8;1328;
2000;1;spain;sgal;1;22894;
2000;1;spain;sgal;2;16987;
2000;1;spain;sgal;3;4086;
2000;1;spain;sgal;4;843;
2000;1;spain;sgal;5;106;
2000;1;spain;sgal;6;141;
2000;1;spain;sgal;7;71;
2001;1;portugal;npor;1;12219241.66;301274
2001;1;portugal;npor;2;439726.4364;19865
2001;1;portugal;npor;3;188681.0325;11554
2001;1;portugal;npor;4;135015.2026;8494
2001;1;portugal;npor;5;38439.06494;2626
2001;1;portugal;npor;6;2225.6;168
2001;1;portugal;swpor;1;2947207.307;34332
2001;1;portugal;swpor;2;87237.86264;2540
2001;1;portugal;swpor;3;21972.16227;1213
2001;1;portugal;swpor;4;14902.76987;851
2001;1;portugal;swpor;5;12380.33718;685
2001;1;portugal;swpor;6;6865.819231;423
2001;1;portugal;swpor;7;2378.741667;77
2001;1;portugal;spor;1;889449.2048;13226
2001;1;portugal;spor;2;95320.37619;3495
2001;1;portugal;spor;3;37219.64762;1768
2001;1;portugal;spor;4;21870.13626;1236
2001;1;portugal;spor;5;29438.5011;1741
2001;1;portugal;spor;6;22228.37253;1402
2001;1;portugal;spor;7;8003.707692;752
2001;1;portugal;cad;1;2584223.408;39780
2001;1;portugal;cad;2;184044.8254;7535
2001;1;portugal;cad;3;278857.073;12474
2001;1;portugal;cad;4;161498.219;8626
2001;1;portugal;cad;5;191766.7476;11064
2001;1;portugal;cad;6;101184.7714;6359
2001;1;portugal;cad;7;31918.45714;2443
2001;1;spain;ecan;2;1824;
2001;1;spain;ecan;3;13941;
2001;1;spain;ecan;4;29093;
2001;1;spain;ecan;5;44432;
2001;1;spain;ecan;6;21679;
2001;1;spain;ecan;7;13541;
2001;1;spain;ecan;8;8639;
2001;1;spain;ecan;9;4529;
2001;1;spain;ecan;10;888;
2001;1;spain;wcan;1;14513;
2001;1;spain;wcan;2;134412;
2001;1;spain;wcan;3;160181;
2001;1;spain;wcan;4;102296;
2001;1;spain;wcan;5;48648;
2001;1;spain;wcan;6;10386;
2001;1;spain;wcan;7;2289;
2001;1;spain;wcan;8;1607;
2001;1;spain;wcan;9;234;
2001;1;spain;wcan;10;81;
2001;1;spain;ngal;1;336264;
2001;1;spain;ngal;2;107096;
2001;1;spain;ngal;3;12417;
2001;1;spain;ngal;4;11540;
2001;1;spain;ngal;5;5865;
2001;1;spain;ngal;6;1421;
2001;1;spain;ngal;7;486;
2001;1;spain;ngal;8;223;
2001;1;spain;ngal;9;50;
2001;1;spain;ngal;10;8;
2001;1;spain;sgal;1;624825;
2001;1;spain;sgal;2;19551;
2002;1;portugal;npor;1;3978480;85469
2002;1;portugal;npor;2;3876760;140928
2002;1;portugal;npor;3;29624;1572
2002;1;portugal;npor;4;38436;2106
2002;1;portugal;npor;5;16191;1117
2002;1;portugal;npor;6;16406;1157
2002;1;portugal;npor;7;7319;521
2002;1;portugal;swpor;1;2948752;57107
2002;1;portugal;swpor;2;277049;11878
2002;1;portugal;swpor;3;51358;2815
2002;1;portugal;swpor;4;123695;7790
2002;1;portugal;swpor;5;91020;6281
2002;1;portugal;swpor;6;72890;5117
2002;1;portugal;swpor;7;66759;5197
2002;1;portugal;spor;1;1521316;45962
2002;1;portugal;spor;2;926625;36687
2002;1;portugal;spor;3;203682;9648
2002;1;portugal;spor;4;60729;3457
2002;1;portugal;spor;5;81425;4617
2002;1;portugal;spor;6;53546;3250
2002;1;portugal;spor;7;23598;1414
2002;1;portugal;cad;1;4321613;100875
2002;1;portugal;cad;2;1157438;42967
2002;1;portugal;cad;3;430845;19273
2002;1;portugal;cad;4;256459;12667
2002;1;portugal;cad;5;58320;3565
2002;1;portugal;cad;6;38223;2126
2002;1;spain;ecan;1;123001;
2002;1;spain;ecan;2;205641;
2002;1;spain;ecan;3;222636;
2002;1;spain;ecan;4;283854;
2002;1;spain;ecan;5;156390;
2002;1;spain;ecan;6;65122;
2002;1;spain;ecan;7;10058;
2002;1;spain;ecan;8;3856;
2002;1;spain;wcan;1;45079;
2002;1;spain;wcan;2;91515;
2002;1;spain;wcan;3;144974;
2002;1;spain;wcan;4;300324;
2002;1;spain;wcan;5;149070;
2002;1;spain;wcan;6;62304;
2002;1;spain;wcan;7;13863;
2002;1;spain;wcan;8;3722;
2002;1;spain;wcan;9;332;
2002;1;spain;ngal;1;6143;
2002;1;spain;ngal;2;29743;
2002;1;spain;ngal;3;22450;
2002;1;spain;ngal;4;33551;
2002;1;spain;ngal;5;13131;
2002;1;spain;ngal;6;2225;
2002;1;spain;ngal;7;1398;
2002;1;spain;ngal;8;290;
2002;1;spain;ngal;9;120;
2002;1;spain;sgal;1;96174;
2002;1;spain;sgal;2;433304;
2002;1;spain;sgal;3;58539;
2002;1;spain;sgal;4;33929;
2003;1;portugal;npor;1;1929640;39336
2003;1;portugal;npor;2;1118498;36609
2003;1;portugal;npor;3;1345707;55195
2003;1;portugal;npor;4;236989;10268
2003;1;portugal;npor;5;181925;9306
2003;1;portugal;npor;6;47992;2731
2003;1;portugal;npor;7;450;35
2003;1;portugal;swpor;1;3395537;50531
2003;1;portugal;swpor;2;1117686;48658
2003;1;portugal;swpor;3;621941;31516
2003;1;portugal;swpor;4;127141;7305
2003;1;portugal;swpor;5;59078;3850
2003;1;portugal;swpor;6;36830;2709
2003;1;portugal;swpor;7;11897;808
2003;1;portugal;spor;1;30071;914
2003;1;portugal;spor;2;659598;29064
2003;1;portugal;spor;3;279899;14154
2003;1;portugal;spor;4;73897;4674
2003;1;portugal;spor;5;77026;5140
2003;1;portugal;spor;6;61434;4278
2003;1;portugal;spor;7;19484;1535
2003;1;portugal;cad;1;486910;14912
2003;1;portugal;cad;2;914575;35330
2003;1;portugal;cad;3;278150;13179
2003;1;portugal;cad;4;111369;5992
2003;1;portugal;cad;5;43135;2556
2003;1;portugal;cad;6;22089;1434
2003;1;portugal;cad;7;1372;104
2003;1;spain;ecan;1;8543;
2003;1;spain;ecan;2;348461;
2003;1;spain;ecan;3;204048;
2003;1;spain;ecan;4;114011;
2003;1;spain;ecan;5;49802;
2003;1;spain;ecan;6;18998;
2003;1;spain;ecan;7;7260;
2003;1;spain;ecan;8;1322;
2003;1;spain;ecan;9;1194;
2003;1;spain;ecan;10;625;
2003;1;spain;wcan;1;21598;
2003;1;spain;wcan;2;257937;
2003;1;spain;wcan;3;313612;
2003;1;spain;wcan;4;236684;
2003;1;spain;wcan;5;137843;
2003;1;spain;wcan;6;54784;
2003;1;spain;wcan;7;26860;
2003;1;spain;wcan;8;4709;
2003;1;spain;wcan;9;3981;
2003;1;spain;wcan;10;2062;
2003;1;spain;ngal;1;5703;
2003;1;spain;ngal;2;89014;
2003;1;spain;ngal;3;283030;
2003;1;spain;ngal;4;70289;
2003;1;spain;ngal;5;15127;
2003;1;spain;ngal;6;10977;
2003;1;spain;ngal;7;1837;
2003;1;spain;sgal;1;6531;
2003;1;spain;sgal;2;78360;
2003;1;spain;sgal;3;240549;
2003;1;spain;sgal;4;38599;
